name,pct_stem_2000,pct_business_2000,pct_health_2000,pct_arthuman_2000,pct_socialscience_2000,pct_publicsocial_2000,pct_multidisci_2000,pct_tradepersonal_2000,scorecard_median_earnings_2011
ASA Institute Of Business & Computer Technology,81.97065,6.6037736,11.425576,0.0,0.0,0.0,0.0,0.0,26400.0
Abilene Christian University,11.318242,22.50333,5.0599203,10.785619,31.691078,8.7882824,9.7203732,0.13315579,40200.0
Abraham Baldwin Agricultural College,29.612757,4.1002278,12.072893,0.0,0.0,6.3781323,47.152618,0.68337131,31900.0
Academy Of Art University,0.0,0.0,0.0,96.091957,3.908046,0.0,0.0,0.0,36100.0
Adams State University,13.489737,24.046921,0.0,10.85044,18.181818,0.0,33.431084,0.0,33200.0
Adelphi University,6.0060062,28.078077,13.963964,9.0090094,30.780781,8.5585585,3.6036036,0.0,50600.0
Adirondack Community College - SUNY Office Of Community Colleges,8.5470085,19.017094,12.606837,0.0,2.1367521,7.4786325,50.0,0.21367522,32300.0
Adrian College,16.564417,28.834356,0.61349696,19.631903,16.564417,5.5214725,12.269938,0.0,36500.0
Advanced Institute Of Hair Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,22000.0
Advanced Technology Institute,15.163935,0.0,0.0,0.0,0.0,0.0,0.0,84.836067,35300.0
Adventist University Of Health Sciences,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,51100.0
Agnes Scott College,15.94203,0.0,0.0,31.884058,42.028984,0.0,10.144928,0.0,39400.0
Aiken Technical College,24.3309,36.25304,8.5158148,0.0,0.0,11.922141,9.7323599,9.2457418,25300.0
Aims Community College,6.025825,13.916786,27.977045,0.28694403,0.0,7.4605451,37.733143,6.5997128,31700.0
Alabama Agricultural & Mechanical University,38.165138,20.917431,0.0,1.2844037,35.229359,4.4036698,0.0,0.0,31400.0
Alabama Southern Community College,12.546125,24.723248,26.937269,0.0,0.0,0.0,19.926199,15.867159,23200.0
