super_opeid,name,region,state,fips,cz,czname,cfips,county,zip,tier,tier_name,type,iclevel,public,barrons,exp_instr_pc_2000,exp_instr_pc_2013,multi,hbcu,flagship,ipeds_enrollment_2013,ipeds_enrollment_2000,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,grad_rate_150_p_2002,avgfacsal_2013,avgfacsal_2001,sat_avg_2013,sat_avg_2001,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,endowment_pc_2000,exp_instr_2012,exp_instr_2000,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000,latitude,longitude
30955,ASA Institute Of Business & Computer Technology,1,NY,36,19400,New York,36047,Kings,11201,11,Two-year for-profit,3,2,0,999,1961.1664,3643.3179,0,0,0,4711,1432.0,12298.0,,0.3162605668821482,0.592128801431127,4378.0,,,,22011.0,,26400.0,,12291059.0,1417345.0,0.11801676,0.081703909,0.073324025,0.071229048,0.0,6.6037736,11.425576,0.0,0.0,81.97065,0.0,0.0,,
3537,Abilene Christian University,3,TX,48,32501,Abilene,48441,Taylor,79699,6,Selective private,2,1,0,3,4572.1567,7046.2036,0,0,0,3727,4739.0,29450.0,10910.0,0.5656108597285069,0.544543429844098,5508.0,48039.75877192982,1075.0,1100.0,20836.0,0.51059997,40200.0,,30223039.0,20684050.0,0.007326873,0.05766958,0.05672418,0.039943274,10.785619,22.50333,5.0599203,9.7203732,8.7882824,11.318242,31.691078,0.13315579,32.4699728,-99.7073595
1541,Abraham Baldwin Agricultural College,3,GA,13,8503,Valdosta,13277,Tift,31793,7,Nonselective four-year public,1,1,1,999,3533.4463,3301.0461,0,0,0,3394,2630.0,3394.0,1664.0,,0.2271428571428571,4752.0,43470.07291666666,925.0,,7887.0,0.29100001,31900.0,1594.2852,9604920.0,9627084.0,0.0049429657,0.15703422,0.016730038,0.013688213,0.0,4.1002278,12.072893,47.152618,6.3781323,29.612757,0.0,0.68337131,31.4813539,-83.5258077
7531,Academy Of Art University,4,CA,6,37800,San Francisco,6075,San Francisco,94105,10,Four-year for-profit,3,1,0,999,2569.2778,5039.5825,0,0,0,10508,5995.0,19740.0,15090.0,0.33,0.3224299065420561,7062.0,50651.37234042553,,,28224.0,,36100.0,,87856929.0,17809356.0,0.15640348,0.023989422,0.20589346,0.27181715,96.091957,0.0,0.0,0.0,0.0,0.0,3.908046,0.0,37.776019,-122.3987087
1345,Adams State University,4,CO,8,34805,Alamosa,8003,Alamosa,81101,5,Selective public,1,1,1,4,1036.9449,5938.9795,0,0,0,2284,8188.0,8014.0,2186.0,0.2611764705882353,0.3233256351039261,5986.0,44087.6,984.0,,14705.0,0.47400001,33200.0,1026.6212,18314567.0,8925393.0,0.0125,0.035096154,0.27548078,0.0024038462,10.85044,24.046921,0.0,33.431084,0.0,13.489737,18.181818,0.0,37.4748024,-105.8819231
2666,Adelphi University,1,NY,36,19400,New York,36059,Nassau,11530,6,Selective private,2,1,0,4,6283.9482,10505.104,0,0,0,5040,5908.0,32340.0,15690.0,0.6251415628539071,0.4873417721518987,11315.0,55523.09743589744,1115.0,1065.0,20512.0,0.3186,50600.0,,78979322.0,30597666.0,0.029686997,0.1226202,0.067118429,0.040980961,9.0090094,28.078077,13.963964,3.6036036,8.5585585,6.0060062,30.780781,0.0,40.7197638,-73.6519719
2860,Adirondack Community College - SUNY Office Of Community Colleges,1,NY,36,18600,Albany,36113,Warren,12804,9,Two-year (public and private not-for-profit),1,2,1,999,2475.7666,3460.824,0,0,0,4230,3151.0,4302.0,2503.0,0.1927409261576971,0.3316412859560068,6390.0,47857.82105263157,,,2810.0,,32300.0,,13593025.0,8229181.0,0.0066645509,0.0082513485,0.0092034275,0.0028562362,0.0,19.017094,12.606837,50.0,7.4786325,8.5470085,2.1367521,0.21367522,,
2234,Adrian College,2,MI,26,11500,Jackson,26091,Lenawee,49221,6,Selective private,2,1,0,4,5017.7095,6377.8945,0,0,0,1646,1081.0,32660.0,14250.0,0.5445134575569358,0.4563758389261745,7453.0,40353.36363636364,990.0,,15774.0,0.43720001,36500.0,,10441712.0,4995231.0,0.0037002775,0.067530066,0.017576318,0.019426458,19.631903,28.834356,0.61349696,12.269938,5.5214725,16.564417,16.564417,0.0,41.8984947,-84.0608324
11484,Advanced Institute Of Hair Design,2,WI,55,24100,Milwaukee,55079,Milwaukee,53228,11,Two-year for-profit,3,2,0,999,1695.1045,2502.1504,0,0,0,355,111.0,,,0.7504120630704917,0.8214756258234519,,,,,10707.964,,22000.0,,307487.0225352113,112103.5,0.0090909088,0.071753249,0.036201298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,
31275,Advanced Technology Institute,3,VA,51,2000,Virginia Beach,51810,Virginia Beach City,23462,11,Two-year for-profit,3,2,0,999,3841.7444,8173.1704,0,0,0,824,273.0,13255.0,6942.0,0.6814159292035398,,3814.0,,,,18350.0,0.096600004,35300.0,,6635811.0,1168395.0,0.043956045,0.26373628,0.021978023,0.0,0.0,0.0,0.0,0.0,0.0,15.163935,0.0,84.836067,36.8953347,-76.1914845
